COMUNA;COMUNA CODE (PRE 1999);COMUNA CODE (2000-2008);COMUNA CODE (2008-2010);COMUNA CODE (2010-);REGION CODE (2000-2008);REGION CODE (2008-);HEALTH SERVICE (PRE 2007);HEALTH SERVICE (2008-);PROVINCE CODE (2000-2008);PROVINCE CODE (2008-2010);PROVINCE CODE (2010-);PROVINCE NAME (2000-2008);PROVINCE NAME (2008-2010);PROVINCE NAME (2010-);NAME REGION (2000-2008);NAME REGION (2008-);NAME HEALTH SERVICE (PRE 2007);NAME HEALTH SERVICE (2008-);
Arica;201;1201;15101;15101;1;15;1;1;12;151;151;Arica  ;Arica  ;Arica  ;De Tarapacá;De Arica y Parinacota;Arica;Arica;
Camarones;202;1202;15102;15102;1;15;1;1;12;151;151;Arica  ;Arica  ;Arica  ;De Tarapacá;De Arica y Parinacota;Arica;Arica;
Putre;205;1301;15201;15201;1;15;1;1;13;152;152;Parinacota;Parinacota;Parinacota;De Tarapacá;De Arica y Parinacota;Arica;Arica;
General Lagos;206;1302;15202;15202;1;15;1;1;13;152;152;Parinacota;Parinacota;Parinacota;De Tarapacá;De Arica y Parinacota;Arica;Arica;
Iquique;210;1101;1101;1101;1;1;2;2;11;11;11;Iquique  ;Iquique  ;Iquique  ;De Tarapacá;De Tarapacá;Iquique;Iquique;
Camiña;212;1102;1402;1402;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Colchane;213;1103;1403;1403;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Huara;211;1104;1404;1404;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Pica;214;1105;1405;1405;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Pozo Almonte;215;1106;1401;1401;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Alto Hospicio;210;1107;1107;1107;1;1;2;2;11;11;11;Iquique  ;Iquique  ;Iquique  ;De Tarapacá;De Tarapacá;Iquique;Iquique;
Antofagasta;230;2101;2101;2101;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Mejillones;231;2102;2102;2102;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Sierra Gorda;232;2103;2103;2103;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Taltal;233;2104;2104;2104;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Calama;225;2201;2201;2201;2;2;3;3;22;22;22;El Loa;El Loa;El Loa;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Ollagüe;226;2202;2202;2202;2;2;3;3;22;22;22;El Loa;El Loa;El Loa;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
San Pedro de Atacama;227;2203;2203;2203;2;2;3;3;22;22;22;El Loa;El Loa;El Loa;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Tocopilla;220;2301;2301;2301;2;2;3;3;23;23;23;Tocopilla  ;Tocopilla  ;Tocopilla  ;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
María Elena;221;2302;2302;2302;2;2;3;3;23;23;23;Tocopilla  ;Tocopilla  ;Tocopilla  ;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Copiapó;240;3101;3101;3101;3;3;4;4;31;31;31;Copiapó  ;Copiapó  ;Copiapó  ;De Atacama;De Atacama;Atacama;Atacama;
Caldera;241;3102;3102;3102;3;3;4;4;31;31;31;Copiapó  ;Copiapó  ;Copiapó  ;De Atacama;De Atacama;Atacama;Atacama;
Tierra Amarilla;242;3103;3103;3103;3;3;4;4;31;31;31;Copiapó  ;Copiapó  ;Copiapó  ;De Atacama;De Atacama;Atacama;Atacama;
Chañaral;235;3201;3201;3201;3;3;4;4;32;32;32;Chañaral  ;Chañaral  ;Chañaral  ;De Atacama;De Atacama;Atacama;Atacama;
Diego de Almagro;236;3202;3202;3202;3;3;4;4;32;32;32;Chañaral  ;Chañaral  ;Chañaral  ;De Atacama;De Atacama;Atacama;Atacama;
Vallenar;245;3301;3301;3301;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
Alto del Carmen;248;3302;3302;3302;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
Freirina;246;3303;3303;3303;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
Huasco;247;3304;3304;3304;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
La Serena;250;4101;4101;4101;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Coquimbo;252;4102;4102;4102;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Andacollo;253;4103;4103;4103;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
La Higuera;251;4104;4104;4104;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Paiguano;255;4105;4105;4105;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Vicuña;254;4106;4106;4106;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Illapel;270;4201;4201;4201;4;4;5;5;42;42;42;Choapa;Choapa;Choapa;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Canela;273;4202;4202;4202;4;4;5;5;42;42;42;Choapa;Choapa;Choapa;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Los Vilos;272;4203;4203;4203;4;4;5;5;42;42;42;Choapa;Choapa;Choapa;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Salamanca;271;4204;4204;4204;4;4;5;5;42;42;42;Choapa;Choapa;Choapa;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Ovalle;260;4301;4301;4301;4;4;5;5;43;43;43;Limari;Limari;Limari;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Combarbalá;263;4302;4302;4302;4;4;5;5;43;43;43;Limari;Limari;Limari;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Monte Patria;262;4303;4303;4303;4;4;5;5;43;43;43;Limari;Limari;Limari;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Punitaqui;264;4304;4304;4304;4;4;5;5;43;43;43;Limari;Limari;Limari;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Río Hurtado;261;4305;4305;4305;4;4;5;5;43;43;43;Limari;Limari;Limari;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Valparaíso;310;5101;5101;5101;5;5;6;6;51;51;51;Valparaíso  ;Valparaíso  ;Valparaíso  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
Casablanca;316;5102;5102;5102;5;5;6;6;51;51;51;Valparaíso  ;Valparaíso  ;Valparaíso  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
Concón;318;5103;5103;5103;5;5;7;7;51;51;51;Valparaíso  ;Valparaíso  ;Valparaíso  ;De Valparaíso;De Valparaíso;Viña Del Mar Quillota;Viña Del Mar Quillota;
Juan Fernández;317;5104;5104;5104;5;5;6;6;51;51;51;Valparaíso  ;Valparaíso  ;Valparaíso  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
Puchuncaví;313;5105;5105;5105;5;5;7;7;51;51;51;Valparaíso  ;Valparaíso  ;Valparaíso  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Quilpué;314;5106;5106;5801;5;5;7;7;51;51;58;Valparaíso  ;Valparaíso  ;Marga Marga;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Quintero;312;5107;5107;5107;5;5;7;7;51;51;51;Valparaíso  ;Valparaíso  ;Valparaíso  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Villa Alemana;315;5108;5108;5804;5;5;7;7;51;51;58;Valparaíso  ;Valparaíso  ;Marga Marga;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Viña del Mar;311;5109;5109;5109;5;5;7;7;51;51;51;Valparaíso  ;Valparaíso  ;Valparaíso  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Isla  de Pascua;330;5201;5201;5201;5;5;6;12;52;52;52;Isla de Pascua  ;Isla de Pascua  ;Isla de Pascua  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Metropolitano Oriente;
Los Andes;285;5301;5301;5301;5;5;8;8;53;53;53;Los Andes  ;Los Andes  ;Los Andes  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Calle Larga;287;5302;5302;5302;5;5;8;8;53;53;53;Los Andes  ;Los Andes  ;Los Andes  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Rinconada;288;5303;5303;5303;5;5;8;8;53;53;53;Los Andes  ;Los Andes  ;Los Andes  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
San Esteban;286;5304;5304;5304;5;5;8;8;53;53;53;Los Andes  ;Los Andes  ;Los Andes  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
La Ligua;275;5401;5401;5401;5;5;7;7;54;54;54;Petorca;Petorca;Petorca;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Cabildo;277;5402;5402;5402;5;5;7;7;54;54;54;Petorca;Petorca;Petorca;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Papudo;279;5403;5403;5403;5;5;7;7;54;54;54;Petorca;Petorca;Petorca;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Petorca;276;5404;5404;5404;5;5;7;7;54;54;54;Petorca;Petorca;Petorca;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Zapallar;278;5405;5405;5405;5;5;7;7;54;54;54;Petorca;Petorca;Petorca;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Quillota;300;5501;5501;5501;5;5;7;7;55;55;55;Quillota  ;Quillota  ;Quillota  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Calera;302;5502;5502;5502;5;5;7;7;55;55;55;Quillota  ;Quillota  ;Quillota  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Hijuelas;304;5503;5503;5503;5;5;7;7;55;55;55;Quillota  ;Quillota  ;Quillota  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
La Cruz;301;5504;5504;5504;5;5;7;7;55;55;55;Quillota  ;Quillota  ;Quillota  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Limache;305;5505;5505;5802;5;5;7;7;55;55;58;Quillota  ;Quillota  ;Marga Marga;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Nogales;303;5506;5506;5506;5;5;7;7;55;55;55;Quillota  ;Quillota  ;Quillota  ;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
Olmué;306;5507;5507;5803;5;5;7;7;55;55;58;Quillota  ;Quillota  ;Marga Marga;De Valparaíso;De Valparaíso;Viña del Mar Quillota;Viña del Mar Quillota;
San Antonio;320;5601;5601;5601;5;5;6;6;56;56;56;San Antonio  ;San Antonio  ;San Antonio  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
Algarrobo;324;5602;5602;5602;5;5;6;6;56;56;56;San Antonio  ;San Antonio  ;San Antonio  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
Cartagena;321;5603;5603;5603;5;5;6;6;56;56;56;San Antonio  ;San Antonio  ;San Antonio  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
El Quisco;323;5604;5604;5604;5;5;6;6;56;56;56;San Antonio  ;San Antonio  ;San Antonio  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
El Tabo;322;5605;5605;5605;5;5;6;6;56;56;56;San Antonio  ;San Antonio  ;San Antonio  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
Santo Domingo;325;5606;5606;5606;5;5;6;6;56;56;56;San Antonio  ;San Antonio  ;San Antonio  ;De Valparaíso;De Valparaíso;Valparaíso San Antonio;Valparaíso San Antonio;
San Felipe;290;5701;5701;5701;5;5;8;8;57;57;57;San Felipe  ;San Felipe  ;San Felipe  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Catemu;295;5702;5702;5702;5;5;8;8;57;57;57;San Felipe  ;San Felipe  ;San Felipe  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Llaillay;294;5703;5703;5703;5;5;8;8;57;57;57;San Felipe  ;San Felipe  ;San Felipe  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Panquehue;293;5704;5704;5704;5;5;8;8;57;57;57;San Felipe  ;San Felipe  ;San Felipe  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Putaendo;291;5705;5705;5705;5;5;8;8;57;57;57;San Felipe  ;San Felipe  ;San Felipe  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Santa María;292;5706;5706;5706;5;5;8;8;57;57;57;San Felipe  ;San Felipe  ;San Felipe  ;De Valparaíso;De Valparaíso;Aconcagua;Aconcagua;
Rancagua;335;6101;6101;6101;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Codegua;338;6102;6102;6102;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Coinco;349;6103;6103;6103;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Coltauco;348;6104;6104;6104;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Doñihue;350;6105;6105;6105;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Graneros;336;6106;6106;6106;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Las Cabras;351;6107;6107;6107;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Machalí;339;6108;6108;6108;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Malloa;343;6109;6109;6109;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Mostazal;337;6110;6110;6110;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Olivar;340;6111;6111;6111;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Peumo;347;6112;6112;6112;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Pichidegua;346;6113;6113;6113;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Quinta de Tilcoco;344;6114;6114;6114;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Rengo;342;6115;6115;6115;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Requínoa;341;6116;6116;6116;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
San Vicente;345;6117;6117;6117;6;6;15;15;61;61;61;Cachapoal;Cachapoal;Cachapoal;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Pichilemu;370;6201;6201;6201;6;6;15;15;62;62;62;Cardenal Caro;Cardenal Caro;Cardenal Caro;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
La Estrella;373;6202;6202;6202;6;6;15;15;62;62;62;Cardenal Caro;Cardenal Caro;Cardenal Caro;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Litueche;372;6203;6203;6203;6;6;15;15;62;62;62;Cardenal Caro;Cardenal Caro;Cardenal Caro;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
Marchihue;374;6204;6204;6204;6;6;15;15;62;62;62;Cardenal Caro;Cardenal Caro;Cardenal Caro;Del Libertador B. O'Higgins;Del Libertador B. O'Higgins;Libertador B. O'Higgins;Libertador B. O'Higgins;
